27, 125 pa2-debug-b-our-output2.txt
  217.39,   473.23,   475.26
  218.79,   472.93,   599.45
  348.39,   227.60,   346.77
  349.72,   227.46,   471.94
  350.65,   226.33,   596.55
  344.90,   352.28,   347.43
  346.37,   352.11,   472.91
  346.81,   351.11,   598.31
  340.84,   477.92,   348.42
  342.39,   476.69,   473.29
  343.26,   476.67,   598.99
  473.12,   231.27,   346.31
  474.19,   230.39,   471.23
  475.84,   229.55,   595.75
  469.43,   356.49,   347.09
  470.60,   355.41,   471.94
  472.48,   354.45,   596.55
  466.11,   481.16,   347.39
  467.11,   480.41,   472.07
  468.74,   479.46,   597.16
  226.00,   225.89,   473.12
  221.79,   230.16,   597.79
  218.72,   233.29,   722.88
  226.60,   351.14,   469.58
  222.96,   354.25,   595.07
  220.36,   358.13,   719.34
  228.16,   476.77,   466.41
  224.80,   479.77,   591.78
  220.87,   482.72,   716.33
  350.75,   225.41,   476.28
  347.39,   228.90,   601.39
  343.53,   231.80,   726.60
  351.35,   350.64,   472.72
  348.67,   353.82,   597.91
  344.76,   357.36,   723.02
  353.16,   475.33,   469.78
  349.53,   478.78,   594.51
  346.51,   482.24,   719.69
  475.52,   224.46,   480.30
  472.10,   227.14,   604.58
  468.50,   231.09,   729.84
  476.35,   349.50,   476.12
  473.31,   352.31,   601.77
  469.48,   356.22,   726.43
  477.60,   474.07,   472.92
  474.65,   477.62,   597.89
  471.06,   480.84,   723.12
  226.78,   225.09,   601.88
  228.94,   224.37,   726.80
  231.52,   223.51,   852.12
  225.76,   349.90,   602.26
