27, 125 pa2-unknown-j-our-output2.txt
  348.40,   213.67,   350.12
  350.99,   345.53,   103.62
  351.27,   342.02,   228.61
  351.49,   338.39,   353.54
  354.01,   470.49,   107.11
  354.01,   466.80,   232.09
  354.27,   463.28,   356.93
  473.11,   217.75,    99.86
  473.05,   213.86,   224.56
  473.29,   210.33,   349.52
  475.95,   342.52,   103.34
  475.99,   338.76,   228.04
  476.22,   335.24,   353.33
  479.06,   467.44,   106.97
  479.03,   463.78,   231.75
  479.26,   460.46,   356.95
  225.10,   226.28,   223.37
  225.52,   226.69,   348.20
  225.40,   227.26,   473.11
  222.08,   351.28,   222.62
  222.10,   351.77,   347.64
  222.20,   352.51,   472.73
  218.79,   476.16,   222.35
  219.14,   476.91,   347.24
  218.99,   477.20,   472.05
  350.21,   229.37,   223.29
  350.48,   229.84,   348.17
  350.28,   230.41,   473.09
  346.87,   354.55,   222.54
  347.31,   354.87,   347.78
  347.23,   355.44,   472.49
  344.09,   479.46,   222.26
  343.87,   479.83,   347.13
  343.98,   480.57,   472.10
  475.11,   232.51,   223.23
  475.17,   233.16,   347.88
  475.25,   233.87,   473.24
  472.23,   357.62,   222.40
  472.30,   358.21,   347.50
  472.18,   358.58,   472.45
  469.03,   482.66,   221.88
  469.04,   483.00,   347.09
  469.16,   483.60,   471.98
  223.28,   223.10,   348.20
  224.42,   222.71,   472.97
  225.43,   222.19,   597.98
  224.32,   348.26,   348.62
  225.47,   347.78,   473.61
  226.65,   347.04,   598.69
  225.53,   472.88,   349.21
  226.98,   472.66,   474.05
  228.10,   472.10,   599.14
  348.02,   222.00,   346.94
  349.21,   221.33,   471.80
  350.42,   220.88,   597.18
  349.35,   347.00,   347.31
  350.47,   346.58,   472.53
  351.64,   346.00,   597.43
  350.50,   472.02,   348.11
  351.75,   471.31,   473.10
  353.04,   470.79,   597.91
  473.03,   220.45,   345.98
  474.31,   220.37,   470.70
  475.44,   219.68,   595.87
  474.24,   345.66,   346.41
  475.60,   345.12,   471.13
  476.87,   344.61,   596.42
  475.56,   470.53,   346.95
  476.67,   470.17,   471.79
  478.00,   469.46,   596.66
  226.92,   223.40,   473.74
  227.40,   222.32,   598.48
  228.37,   221.35,   723.66
  226.49,   348.45,   474.88
  227.42,   347.46,   599.91
  228.14,   345.99,   724.72
  226.25,   473.53,   476.09
  226.93,   472.45,   600.89
  227.78,   471.04,   726.07
  351.75,   223.60,   472.74
  352.51,   222.75,   598.09
  353.41,   221.41,   722.90
  351.47,   348.98,   473.96
  352.16,   347.44,   598.94
  352.98,   346.46,   724.02
  351.15,   473.64,   475.14
  351.98,   472.60,   600.31
  352.50,   471.39,   725.24
  476.68,   223.91,   471.92
  477.60,   223.05,   597.14
  478.15,   221.64,   721.88
  476.26,   349.22,   473.10
  477.12,   347.78,   598.35
  478.04,   346.73,   723.02
  476.01,   473.92,   474.53
  476.72,   473.08,   599.55
  477.76,   471.82,   724.57
  223.73,   224.97,   600.83
  224.35,   227.91,   725.71
  225.13,   230.93,   850.61
  222.02,   349.73,   597.99
